f,Ua,DeltaT
10,4.8,50e-3
100,4.8,5e-3
300,4.8,1.65e-3
1000,4.8,490e-6
3000,4.4,152e-6
10000,4.32,36e-6
30000,1.3,9.6e-6
100000,350e-3,2.6e-6
300000,115e-3,680e-9
800000,40e-3,140e-9
